Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,2,4,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,2,4,7,3,HIT_MUD,false,0,1,0,0,1,,,0,0,1
3,2,4,13,6,ACCELERATING,false,0,1,0,0,1,,,0,1,5
4,2,4,21,8,ACCELERATING,false,0,1,0,0,1,,,1,1,9
5,2,4,30,9,ACCELERATING,false,0,1,1,0,1,,,1,1,13
6,2,4,39,9,USED_BOOST,true,5,1,0,0,1,,,1,1,17
7,2,4,48,9,USED_EMP,true,4,1,0,0,2,,,1,0,25
8,2,4,57,9,ACCELERATING,true,3,1,0,0,2,,,1,0,25
9,2,4,66,9,ACCELERATING,true,2,1,0,0,2,,,1,0,25
10,2,4,75,9,ACCELERATING,true,1,1,0,0,2,,,1,0,25
11,2,4,84,9,USED_LIZARD,false,0,1,0,0,1,,,1,0,25
12,2,4,93,9,ACCELERATING,false,0,1,0,0,1,,,1,0,25
13,2,4,102,8,HIT_MUD,false,0,2,0,0,0,,,1,0,22
14,2,4,109,0,HIT_MUD,false,0,5,0,1,0,,,1,0,14
15,2,4,109,0,FIXED_CAR,false,0,3,0,1,0,,,1,0,14
16,2,4,112,3,ACCELERATING,false,0,3,0,1,0,,,1,0,14
17,2,4,118,3,HIT_MUD,false,0,4,0,1,0,,,1,0,11
18,2,4,121,3,ACCELERATING,false,0,4,0,1,0,,,1,0,11
19,2,4,124,3,ACCELERATING,false,0,4,0,1,0,,,1,0,11
20,2,4,127,3,ACCELERATING,false,0,4,0,1,0,,,2,0,15
21,2,4,130,3,ACCELERATING,false,0,4,0,1,0,,,2,0,15
22,2,4,133,3,ACCELERATING,false,0,4,0,1,0,,,2,0,15
23,2,4,136,3,ACCELERATING,false,0,4,0,1,0,,,2,0,15
24,2,4,139,3,ACCELERATING,false,0,4,0,1,0,,,2,0,15
25,2,4,142,3,ACCELERATING,false,0,4,0,1,0,,,2,0,15
26,2,4,145,3,ACCELERATING,false,0,4,0,1,0,,,2,0,15
27,2,4,148,3,ACCELERATING,false,0,4,0,1,0,,,3,0,19
28,2,4,151,0,HIT_MUD,false,0,5,0,1,0,,,3,0,16
29,2,4,151,0,FIXED_CAR,false,0,3,0,1,0,,,3,0,16
30,2,4,154,3,ACCELERATING,false,0,3,0,1,0,,,3,0,16
31,2,4,160,6,ACCELERATING,false,0,3,0,1,0,,,3,0,16
32,2,4,166,6,ACCELERATING,false,0,3,0,1,0,,,3,0,16
33,2,4,172,6,ACCELERATING,false,0,3,0,1,0,,,3,0,16
34,2,4,178,3,HIT_MUD,false,0,4,0,1,0,,,3,0,13
35,2,4,181,3,ACCELERATING,false,0,4,0,1,0,,,3,0,13
36,2,4,184,3,ACCELERATING,false,0,4,0,2,0,,,3,0,17
37,2,4,187,3,ACCELERATING,false,0,4,0,2,0,,,4,0,21
38,2,4,190,3,ACCELERATING,false,0,4,0,2,0,,,5,0,25
39,2,4,193,3,ACCELERATING,false,0,4,0,2,0,,,5,0,25
40,2,4,196,3,ACCELERATING,false,0,4,0,3,0,,,5,0,29
41,2,4,199,0,HIT_MUD,false,0,5,0,3,0,,,5,0,26
42,2,4,199,0,FIXED_CAR,false,0,3,0,3,0,,,5,0,26
43,2,4,202,3,ACCELERATING,false,0,3,0,3,0,,,5,0,26
44,2,4,208,6,ACCELERATING,false,0,3,0,3,0,,,5,0,26
45,2,4,214,6,ACCELERATING,false,0,3,0,3,0,,,5,0,26
46,2,4,220,6,ACCELERATING,false,0,3,0,3,0,,,5,0,26
47,2,4,226,6,ACCELERATING,false,0,3,0,3,0,,,5,0,26
48,2,4,232,6,ACCELERATING,false,0,3,0,3,0,,,5,0,26
49,2,4,238,6,ACCELERATING,false,0,3,0,3,1,,,5,0,30
50,2,4,244,6,ACCELERATING,false,0,3,0,3,1,,,5,0,30
51,2,4,250,6,ACCELERATING,false,0,3,0,3,1,,,6,0,34
52,2,4,256,3,HIT_MUD,false,0,4,0,3,0,,,6,0,31
53,2,4,259,3,ACCELERATING,false,0,4,0,3,0,,,6,1,35
54,2,4,262,3,ACCELERATING,false,0,4,0,3,0,,,6,1,35
55,2,4,265,3,ACCELERATING,false,0,4,0,3,0,,,6,1,35
56,2,4,268,3,ACCELERATING,false,0,4,0,3,0,,,6,1,35
57,2,4,271,3,ACCELERATING,false,0,4,0,3,0,,,7,1,39
58,2,4,274,3,ACCELERATING,false,0,4,0,3,0,,,7,1,39
59,2,4,277,3,ACCELERATING,false,0,4,0,3,0,,,7,1,39
60,2,4,280,3,ACCELERATING,false,0,4,0,3,0,,,7,1,39
61,2,4,283,0,HIT_MUD,false,0,5,0,3,0,,,7,1,36
